Code RNCP,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collectives,uuid (from Conventions collectives),Domaines,uuid (from Domaines),date,Last Modified,Created By,Last Modified By
27473,a54c0e4b-06af-4862-adfe-24c6f950a03b,Mention Complémentaire (MC) post Bac - Technicien en tuyauterie ,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:02pm,Aurélie Favart,Vincent Tournebise
37313,06e86d9e-83c4-4670-b051-e1b99e91b7e2,Mention Complémentaire (MC) post CAP - Boulangerie spécialisée,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:02pm,Cédric Soulas,Vincent Tournebise
958,f6eb389c-ca03-4e3d-ba9e-eb63dbb23357,Mention Complémentaire (MC) post CAP - Employé traiteur,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:03pm,Cédric Soulas,Vincent Tournebise
37315,1983487c-2efc-4c0e-b1ea-b49363919d97,Mention Complémentaire (MC) post CAP - Pâtissier boulanger,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:03pm,Cédric Soulas,Vincent Tournebise
37105,59c613e3-9f83-44c2-a9b6-10825cdad3aa,Mention Complémentaire (MC) post CAP - Vendeur spécialisé en alimentation,,Mention Complémentaire (MC),592e34d4-b9e8-4aa1-8bf5-73e77200593f,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:03pm,Cédric Soulas,Vincent Tournebise
5983,464b1c80-2951-4174-b462-3400cd65fddb,Titre à finalité professionnellle Surveillant visiteur de nuit en secteur social et médico-social - SVNSSMS,,Titre à Finalité Professionnelle,79864782-df4e-4310-9f51-c0ac0f7d0175,3,Etablissements et services pour personnes inadaptées et handicapées,eb745027-d022-4cd2-b900-96f82d71e609,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:33am,Aurélie Favart,Vincent Tournebise
35937,2ac372ad-2a21-4b1d-8f2d-10e447813325,Titre professionnel Agent de fabrication en chaudronnerie - AFMC ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:03pm,Aurélie Favart,Vincent Tournebise
202,6df89508-fe8f-4ffd-91cd-a1892cec4676,Titre professionnel Agent de fabrication industrielle - AFI,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:03pm,Aurélie Favart,Vincent Tournebise
35028,c64f7ebb-7c15-43d6-93fc-b337eb0b1ffd,Titre professionnel Agent de service médico-social - ASMS,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:33am,Aurélie Favart,Vincent Tournebise
1852,59c0c9b8-353a-425e-9950-f61f2b0e0ae3,Titre professionnel Agent magasinier - AM,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:03pm,Aurélie Favart,Vincent Tournebise
