id,idcc,label
e193c741-7725-4767-b901-8d34c99879bf,0892,"Convention collective nationale des cadres et agents de maîtrise de la distribution de films de l'industrie cinématographique"
6514b382-32b0-4694-a834-60f6e6feb058,0897,"Convention collective nationale des services de santé au travail interentreprises"
1e7ecf39-bbed-4a43-80b1-f3fe469ccc0a,0898,"Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de l'Allier"
d14656cb-f64f-42bf-adca-4547944be0ce,0899,"Convention collective départementale des industries métallurgiques, mécaniques et connexes de la Marne"
c5d9cb82-cd41-484e-a7e3-2248a7103647,0901,"Convention collective départementale des ouvriers de la boulangerie de la Martinique"
711a44bd-8b3a-444a-85cd-75cbde337461,0911,"Convention collective départementale des industries métallurgiques, mécaniques, électriques, connexes et similaires de Seine-et-Marne"
5caaabe0-f588-463a-9bf2-42ed043659e7,0914,"Convention collective départementale des mensuels des industries métallurgiques de l'Ain"
2e0916fa-26e8-4284-9fcc-41252cd1816f,0915,"Convention collective nationale des sociétés d'expertises et d'évaluations"
74084501-b50d-479b-8c6f-8795ec633c9d,0919,"Convention collective départementale du personnel des garages de la Martinique (Automobile, commerce, réparation)"
b34af289-28be-45b1-bd3b-6870d884c36d,0920,"Convention collective départementale des industries métallurgiques électriques et connexes de la Vienne"
5d15b0f0-5cf3-4d24-b96b-01f65d7152e1,0923,"Convention collective départementale de la métallurgie de la Charente-Maritime"
d6472424-c42e-423f-9696-d52c7d1a26f7,0925,"Convention collective nationale des ingénieurs et cadres de la distribution des papiers et cartons, commerce de gros"
d224f4c0-b03e-4b7c-8713-286ff1727a3a,0930,"Convention collective départementale de la métallurgie et des industries connexes de la Sarthe"
3ad3964d-7d7d-4a88-9806-8e0974cf55b2,0934,"Convention collective départementale des industries métallurgiques mécaniques connexes et similaires de l'Indre"
5d9deb5b-e715-41f1-9fa9-86632249efa7,0937,"Convention collective régionale des industries métallurgiques mécaniques et connexes de la Haute-Vienne et de la Creuse"
ca4bc536-5528-4bab-b205-392be5f779f4,0943,"Convention collective départementale des industries métallurgiques mécaniques et connexes du Calvados"
f623c6a3-7d15-4cd8-a57e-efc7fd285c09,0948,"Convention collective départementale des industries métallurgiques, mécaniques et connexes de l'Orne"
20a01700-1e58-48d5-a7a5-41ea326c462d,0953,"Convention collective nationale de la charcuterie de détail"
a947ced7-7bab-497e-bfa3-3d9ecdfed1f9,0959,"Convention collective nationale des laboratoires de biologie médicale extra-hospitaliers"
ac40cf70-21d1-4e24-a1cc-45ff3bef3739,0965,"Convention collective départementale des industries métallurgiques et connexes du département du Var"
56aad907-02d3-4367-896d-17e9c29b16e1,0979,"Convention collective locale des industries métallurgiques de l'arrondissement du Havre (Seine-Maritime)"
abb41f80-34b8-4db0-a228-54af476519fd,0984,"Convention collective départementale des industries métallurgiques, mécaniques et connexes d'Eure-et-Loir"
04feecd1-455d-4edd-919d-2b6afbb5a6ca,0992,"Convention collective nationale de la boucherie, boucherie-charcuterie et boucherie hippophagique, triperie, commerce de volailles et gibiers"
d954aba1-1994-42be-bac3-297aa555ebe0,0993,"Convention collective nationale des prothésistes dentaires et des personnels des laboratoires de prothèse dentaire"
6aae73f3-c182-49b8-aadd-0a3d7ae6ec0d,0998,"Convention collective nationale des ouvriers, employés, techniciens et agents de maîtrise de l'exploitation d'équipements thermiques et de génie climatique"
04a55dde-027c-45d2-a85b-793ff5cb4617,1000,"Convention collective nationale du personnel des cabinets d'avocats"
870475e8-f795-4d8d-9b44-397cc294a63b,1001,"Convention collective nationale des médecins spécialistes qualifiés au regard du conseil de l'ordre travaillant dans des établissements et services pour personnes inadaptées et handicapées (annexée à la convention collective nationale de travail des établissements et services pour personnes inadaptées et handicapées 0413)"
5a3ad0d0-9803-4a02-b016-763fdad46bc4,1007,"Convention collective locale d'arrondissement des industries métallurgiques, mécaniques, connexes et similaires de la région de Thiers (Puy-de-Dôme)"
1063d0e0-4a71-4d0e-93a2-1a142b4af9f6,1016,"Convention collective nationale des cadres et agents de maîtrise de l'édition de musique (annexée à la convention collective nationale de l'édition 2121)"
b479d245-0243-4900-9af9-1dc484b171a4,1031,"Convention collective nationale de la fédération nationale des associations familiales rurales (FNAFR)"
a803e153-66be-426a-83e7-d5cf4cabd031,1043,"Convention collective nationale des gardiens, concierges et employés d'immeubles"
69e377d5-4130-4d51-9e25-f618df9cb690,1044,"Convention collective nationale de l'horlogerie (annexée à la convention collective nationale de la bijouterie, joaillerie, orfèvrerie et des activités qui s'y rattachent 0567)"
0aee93a9-f8b8-401f-a7e6-c1a09e3c4e88,1049,"Convention collective départementale du bâtiment, des travaux publics et de toutes professions concourant à l'acte de bâtir ou d'aménager de Saint Pierre-et-Miquelon"
136d6990-d9ee-43da-a3a8-fd6bbe2b3779,1050,"Convention collective départementale du commerce et des services commerciaux de Saint-Pierre-et-Miquelon"
20fdff5c-7fa0-4e26-8ec2-4b98f960438d,1057,"Convention collective départementale des consignataires de navire et manutentionnaires de la Martinique"
e87c2a96-cc06-404e-9e0c-077e60240b12,1059,"Convention collective régionale des industries métallurgiques, électriques, électroniques et connexes de Midi-Pyrénées (Ariège, Aveyron, Gers, Haute-Garonne, Tarn, Tarn-et-Garonne, Lot, Aude convention du 1er avril 1980 )"
44a8ceae-5b73-4771-bd5a-69dfc63a5159,1060,"Convention collective départementale de la métallurgie de la Martinique"
4c7753c2-d6b9-4e6a-8a48-0f57f1aa36f5,1069,"Convention collective départementale de la répartition et des dépôts pharmaceutiques de la Martinique"
068145e4-3813-486b-bc55-47d6c0796131,1072,"Convention collective locale du travail règlementant le travail de manutention dans le port de Saint-Pierre"
83853ac5-323e-4a44-9ac7-c0bc92123e19,1077,"Convention collective nationale entreprises du négoce et de l'industrie des produits du sol, engrais et produits connexes"
566359f5-00fe-4938-9058-1c40d3de27b4,1090,"Convention collective nationale des services de l'automobile (commerce et réparation de l'automobile, du cycle et du motocycle, activités connexes, contrôle technique automobile, formation des conducteurs auto-écoles CNPA )"
38184aac-e348-494c-a05e-1495ce9a1fd3,1140,"Convention collective départementale des hôtels cafés restaurants de Saint-Pierre-et-Miquelon(HCR)"
4c08c757-e75c-4bd9-bcdd-1e0a7a8691dd,1147,"Convention collective nationale du personnel des cabinets médicaux (médecin)"
c9b9d936-bfae-401d-868c-05ae83bc231d,1159,"Convention collective départementale de la métallurgie de la Nièvre"
29f8dc21-8616-4026-b123-1a51365e2093,1164,"Convention collective locale des industries métallurgiques et annexes de la région de Vimeu (Somme)"
74d0c7d1-d66d-429b-b88b-94321c5e1e8a,1170,"Convention collective nationale de l'industrie des tuiles et briques (CCNTB)"
